일시,기온(°C),풍향(deg),풍속(m/s),강수량(mm)
1999-07-23 14:00,28.4,253.9,1.4,1
1999-07-23 15:00,28.1,121.1,1.4,1
1999-07-23 16:00,26.4,177.5,0.7,1
1999-07-23 17:00,27.3,128.3,1.4,1
1999-07-23 18:00,26.6,129.8,0.9,1
1999-07-23 19:00,25.7,3.4,0.7,1
1999-07-23 20:00,25,32.5,1.2,1
1999-07-23 21:00,24.8,6.3,1.1,1
1999-07-23 22:00,24.7,154.1,1,1
1999-07-23 23:00,24.7,114.2,0.8,1
1999-07-24 0:00,24.8,27.1,0.7,11.5
1999-07-24 1:00,23.2,21.1,2,11.5
1999-07-24 2:00,22.6,160.1,2,11.5
1999-07-24 3:00,23,150.3,1.3,11.5
1999-07-24 4:00,23.1,149.3,0.9,11.5
1999-07-24 5:00,23.4,283.6,0.5,11.5
1999-07-24 6:00,23.3,43.1,1.5,11.5
1999-07-24 7:00,23.2,84.1,0.9,11.5
1999-07-24 8:00,23,90.5,0.7,11.5
1999-07-24 9:00,22.4,146.2,1.1,11.5
1999-07-24 10:00,23.3,190.1,1.4,11.5
1999-07-24 11:00,25.1,170.6,0.9,11.5
1999-07-24 12:00,26.1,146,1.4,11.5
1999-07-24 13:00,27,77.8,1.2,11.5
1999-07-24 14:00,26.2,106.3,1.1,11.5
1999-07-24 15:00,27.9,136.4,1.5,11.5
1999-07-24 16:00,28.6,148.6,1.4,11.5
1999-07-24 17:00,27.5,135.3,1.4,11.5
1999-07-24 18:00,25.9,171.7,1.4,11.5
1999-07-24 19:00,23.8,166,2.3,11.5
1999-07-24 20:00,23.7,102.3,1.1,11.5
1999-07-24 21:00,23.2,140.8,1.7,11.5
1999-07-24 22:00,23.1,183,2.8,11.5
1999-07-24 23:00,23.1,166.7,1.7,11.5
1999-07-25 0:00,23.2,274,0.4,0
1999-07-25 1:00,23.1,,,0
1999-07-25 2:00,23.1,,,0
1999-07-25 3:00,23.8,167.6,1,0
1999-07-25 4:00,24.1,171.1,1.2,0
1999-07-25 5:00,24,0,0,0
1999-07-25 6:00,22.9,94.2,0.8,0
1999-07-25 7:00,24.6,174.9,1.1,0
1999-07-25 8:00,26.1,96.7,0.4,0
1999-07-25 9:00,26.4,0,0.2,0
1999-07-25 10:00,26.8,251.1,1.2,0
1999-07-25 11:00,29,132.2,1.1,0
1999-07-25 12:00,29.8,272,1,0
1999-07-25 13:00,30.8,187.3,1.8,0
1999-07-25 14:00,30.4,183.2,1.9,0
1999-07-25 15:00,31.8,101.6,1.8,0
1999-07-25 16:00,31.6,120.8,1.2,0
1999-07-25 17:00,29.6,133,3.3,0
1999-07-25 18:00,28.8,156.4,3.3,0
1999-07-25 19:00,28.1,108,4.6,0
1999-07-25 20:00,27.8,126.6,2.6,0
1999-07-25 21:00,28.1,197,1.3,0
1999-07-25 22:00,27.9,31.6,1.8,0
1999-07-25 23:00,27.3,119.4,4.9,0
1999-07-26 0:00,26.6,113.7,4.6,0
1999-07-26 1:00,26.3,132.6,4.2,0
1999-07-26 2:00,26.4,118.7,6.1,0
1999-07-26 3:00,26.5,117,5.8,0
1999-07-26 4:00,26.5,129,3.6,0
1999-07-26 5:00,26.1,118.1,3.1,0
1999-07-26 6:00,26,67.9,4,0
1999-07-26 7:00,26.2,355.6,1.8,0
1999-07-26 8:00,26.8,331,2.2,0
1999-07-26 9:00,27.2,67.2,3.6,0
1999-07-26 10:00,27.3,74.2,4.2,0
1999-07-26 11:00,27.2,135,5,0
1999-07-26 12:00,26.7,129.1,4.4,0
1999-07-26 13:00,27.2,34.3,3,0
1999-07-26 14:00,27.7,9.5,3,0
1999-07-26 15:00,26.9,353.3,3.2,0
1999-07-26 16:00,26.5,0.4,4.6,0
1999-07-26 17:00,26.6,357.2,2.6,0
1999-07-26 18:00,26.6,349.5,3.3,0
1999-07-26 19:00,26.5,315.6,2.3,0
1999-07-26 20:00,26.9,2.8,3.2,0
1999-07-26 21:00,26.7,349.5,3.6,0
1999-07-26 22:00,26.9,2.4,4.1,0
1999-07-26 23:00,27.3,350.1,4.8,0
1999-07-27 0:00,26.9,334.5,4.2,35.5
1999-07-27 1:00,25.9,357.6,5.5,35.5
1999-07-27 2:00,25.2,351.2,6.2,35.5
1999-07-27 3:00,25.4,356.2,5.3,35.5
1999-07-27 4:00,24.2,350,7.3,35.5
1999-07-27 5:00,24.1,343.8,7.3,35.5
1999-07-27 6:00,23.7,343.6,7.7,35.5
1999-07-27 7:00,24.5,342.7,5.7,35.5
1999-07-27 8:00,23.8,1,5.8,35.5
1999-07-27 9:00,24.9,336.4,5.5,35.5
1999-07-27 10:00,24.7,324.3,4.9,35.5
1999-07-27 11:00,24.6,332,4.8,35.5
